"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2018-12-04 16:09:09 +01:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2010,Austria,"Syrian Arab Rep.","G / FA",194
2010,Belgium,"Syrian Arab Rep.","G / RA",101
2010,Belgium,"Syrian Arab Rep.","G / FI",374
2010,Bulgaria,"Syrian Arab Rep.","G / FI",52
2010,"Bosnia and Herzegovina","Syrian Arab Rep.","G / FA",1
2010,Switzerland,"Syrian Arab Rep.","G / TP",
2010,Switzerland,"Syrian Arab Rep.","G / RA",82
2010,Switzerland,"Syrian Arab Rep.","G / FI",387
2010,"Czech Rep.","Syrian Arab Rep.","G / AR",29
2010,"Czech Rep.","Syrian Arab Rep.","G / FI",17
2010,Germany,"Syrian Arab Rep.","G / RA",546
2010,Germany,"Syrian Arab Rep.","G / NA",1490
2010,Germany,"Syrian Arab Rep.","G / JR",
2010,Denmark,"Syrian Arab Rep.","G / AR",
2010,Denmark,"Syrian Arab Rep.","G / FI",821
2010,Spain,"Syrian Arab Rep.","G / FI",19
2010,Finland,"Syrian Arab Rep.","G / FI",41
2010,France,"Syrian Arab Rep.","G / RA",3
2010,France,"Syrian Arab Rep.","G / FI",192
2010,"United Kingdom","Syrian Arab Rep.","G / RA",6
2010,"United Kingdom","Syrian Arab Rep.","G / FI",160
2010,Greece,"Syrian Arab Rep.","G / FI",167
2010,Greece,"Syrian Arab Rep.","G / AR",133
2010,Croatia,"Syrian Arab Rep.","G / FI",4
2010,Hungary,"Syrian Arab Rep.","G / FI",23
2010,Ireland,"Syrian Arab Rep.","G / SP",1
2010,Ireland,"Syrian Arab Rep.","G / AR",1
2010,Ireland,"Syrian Arab Rep.","G / FI",2
2010,Iceland,"Syrian Arab Rep.","G / FI",2
2010,Italy,"Syrian Arab Rep.","G / FI",48
2010,Liechtenstein,"Syrian Arab Rep.","G / FA",2
2010,Luxembourg,"Syrian Arab Rep.","G / FI",19
2010,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.","G / FA",1
2010,Malta,"Syrian Arab Rep.","G / AR",2
2010,Malta,"Syrian Arab Rep.","G / FI",12
2010,Netherlands,"Syrian Arab Rep.","G / RA",24
2010,Netherlands,"Syrian Arab Rep.","G / JR",
2010,Netherlands,"Syrian Arab Rep.","G / FI",125
2010,Norway,"Syrian Arab Rep.","G / FI",119
2010,Norway,"Syrian Arab Rep.","G / AR",189
2010,Poland,"Syrian Arab Rep.","G / FI",8
2010,Romania,"Syrian Arab Rep.","G / FA",19
2010,"Russian Federation","Syrian Arab Rep.","G / FI",3
2010,"Russian Federation","Syrian Arab Rep.","G / TA",3
2010,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",1
2010,Slovakia,"Syrian Arab Rep.","G / FI",4
2010,Slovenia,"Syrian Arab Rep.","G / FI",4
2010,Sweden,"Syrian Arab Rep.","G / FI",421
2010,Sweden,"Syrian Arab Rep.","G / JR",331
2010,Ukraine,"Syrian Arab Rep.","G / AR",53
2010,Ukraine,"Syrian Arab Rep.","G / FI",29
2010,Ukraine,"Syrian Arab Rep.","U / FI",1
2011,Austria,"Syrian Arab Rep.","G / FA",422
2011,Belgium,"Syrian Arab Rep.","G / RA",168
2011,Belgium,"Syrian Arab Rep.","G / FI",494
2011,Bulgaria,"Syrian Arab Rep.","G / FA",85
2011,"Bosnia and Herzegovina","Syrian Arab Rep.","G / FA",
2011,Switzerland,"Syrian Arab Rep.","G / FI",688
2011,Switzerland,"Syrian Arab Rep.","G / TP",
2011,"Czech Rep.","Syrian Arab Rep.","G / FI",23
2011,Germany,"Syrian Arab Rep.","G / RA",802
2011,Germany,"Syrian Arab Rep.","G / JR",
2011,Germany,"Syrian Arab Rep.","G / NA",2634
2011,Denmark,"Syrian Arab Rep.","G / FI",428
2011,Denmark,"Syrian Arab Rep.","G / AR",
2011,Spain,"Syrian Arab Rep.","G / FI",97
2011,Finland,"Syrian Arab Rep.","G / FI",109
2011,France,"Syrian Arab Rep.","G / FI",119
2011,France,"Syrian Arab Rep.","G / JR",
2011,"United Kingdom","Syrian Arab Rep.","G / AR",136
2011,"United Kingdom","Syrian Arab Rep.","G / FI",508
2011,"United Kingdom","Syrian Arab Rep.","G / RA",4
2011,Greece,"Syrian Arab Rep.","G / FI",352
2011,Greece,"Syrian Arab Rep.","G / AR",
2011,Croatia,"Syrian Arab Rep.","G / FI",9
2011,Croatia,"Syrian Arab Rep.","G / AR",1
2011,Hungary,"Syrian Arab Rep.","G / FI",91
2011,Ireland,"Syrian Arab Rep.","G / FI",11
2011,Ireland,"Syrian Arab Rep.","G / SP",1
2011,Ireland,"Syrian Arab Rep.","G / AR",1
2011,Iceland,"Syrian Arab Rep.","G / FI",1
2011,Iceland,"Syrian Arab Rep.","G / AR",2
2011,Italy,"Syrian Arab Rep.","G / FI",541
2011,Lithuania,"Syrian Arab Rep.","G / FI",1
2011,Luxembourg,"Syrian Arab Rep.","G / FI",10
2011,Latvia,"Syrian Arab Rep.","G / FI",16
2011,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.","G / FA",2
2011,Malta,"Syrian Arab Rep.","G / AR",2
2011,Malta,"Syrian Arab Rep.","G / FI",122
2011,Montenegro,"Syrian Arab Rep.","G / FA",1
2011,Netherlands,"Syrian Arab Rep.","G / JR",
2011,Netherlands,"Syrian Arab Rep.","G / RA",30
2011,Netherlands,"Syrian Arab Rep.","G / FI",168
2011,Norway,"Syrian Arab Rep.","G / AR",158
2011,Norway,"Syrian Arab Rep.","G / FI",198
2011,Poland,"Syrian Arab Rep.","G / AR",
2011,Poland,"Syrian Arab Rep.","G / RA",1
2011,Poland,"Syrian Arab Rep.","G / FI",11
2011,Romania,"Syrian Arab Rep.","G / FA",44
2011,"Russian Federation","Syrian Arab Rep.","G / TA",13
2011,"Russian Federation","Syrian Arab Rep.","G / FI",31
2011,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",13
2011,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",20
2011,Slovakia,"Syrian Arab Rep.","G / FI",10
2011,Slovenia,"Syrian Arab Rep.","G / FI",11
2011,Sweden,"Syrian Arab Rep.","G / FI",640
2011,Sweden,"Syrian Arab Rep.","G / AR",350
2011,Ukraine,"Syrian Arab Rep.","G / JR",67
2011,Ukraine,"Syrian Arab Rep.","U / FI",7
2011,Ukraine,"Syrian Arab Rep.","G / FA",55
2012,Ireland,"Syrian Arab Rep.","G / SP",2
2012,Ireland,"Syrian Arab Rep.","G / AR",6
2012,Iceland,"Syrian Arab Rep.","G / FI",3
2012,Italy,"Syrian Arab Rep.","G / FI",354
2012,Liechtenstein,"Syrian Arab Rep.","G / FI",1
2012,Lithuania,"Syrian Arab Rep.","G / FI",6
2012,Luxembourg,"Syrian Arab Rep.","G / FI",14
2012,Latvia,"Syrian Arab Rep.","G / FI",18
2012,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.","G / FA",5
2012,Malta,"Syrian Arab Rep.","G / FI",147
2012,Montenegro,"Syrian Arab Rep.","G / FA",44
2012,Netherlands,"Syrian Arab Rep.","G / FI",454
2012,Netherlands,"Syrian Arab Rep.","G / RA",121
2012,Netherlands,"Syrian Arab Rep.","G / JR",
2012,Norway,"Syrian Arab Rep.","G / FI",327
2012,Norway,"Syrian Arab Rep.","G / AR",127
2012,Poland,"Syrian Arab Rep.","G / FI",107
